day;temperature_max;temperature_min;humidity;precip_intensity;precip_intensity_max;pressure;visibility;wind_speed
2015-05-13 23:00:00+00:00;10.77;8.45;0.89;0.4962;2.7658;1011.9;5289;3.92
2015-05-15 23:00:00+00:00;19.62;10.54;0.71;0;0;1024.2;6187;5.57
2015-05-17 23:00:00+00:00;15.13;9.04;0.79;0.08;0.6537;1008.6;5476;7.07
2015-05-19 23:00:00+00:00;16.18;4.56;0.69;0;0;1016.9;6201;3.49
2015-05-21 23:00:00+00:00;17.15;6.31;0.86;0;0;1026;6216;2.37
2015-05-23 23:00:00+00:00;18.02;10.77;0.81;0;0;1020.4;6528;3.35
2015-05-25 23:00:00+00:00;19.88;8.22;0.71;0;0;1023.4;6216;2.59
2015-05-27 23:00:00+00:00;17.35;10.31;0.68;0;0;1015.5;6216;5.28
2015-05-29 23:00:00+00:00;16.17;6.63;0.74;0;0;1014.3;6218;4.31
2015-05-31 23:00:00+00:00;14.32;7.58;0.74;0.0162;556;1014.1;6152;5.86
2015-06-02 23:00:00+00:00;18.2;10.81;0.74;0;0;1021.4;6044;4.79
2015-06-04 23:00:00+00:00;19.96;11.71;0.8;0.0143;116;1016;6148;4.13
2015-06-06 23:00:00+00:00;19.54;6.37;0.69;0;0;1031.2;6216;2.25
2015-06-08 23:00:00+00:00;15.6;6.38;0.68;0;0;1031.8;6216;5.43
2015-06-10 23:00:00+00:00;25.02;10.88;0.68;0;0;1017.6;6216;5.73
2015-06-12 23:00:00+00:00;18.58;12.72;0.86;0.0582;1.0196;1009.9;5287;5.79
2015-06-14 23:00:00+00:00;18.87;11.25;0.77;0.0005;0.0112;1021.1;6201;3.38
2015-06-16 23:00:00+00:00;22.06;10.32;0.82;0;0;1024;6101;3.74
2015-06-18 23:00:00+00:00;21.7;9.75;0.68;0;0;1021.8;6216;3.33
2015-06-20 23:00:00+00:00;20.27;13.55;0.74;0;0;1017;6216;4.56
2015-06-22 23:00:00+00:00;20.24;10.51;0.73;0;0;1017.8;6216;2.91
2015-06-24 23:00:00+00:00;22.49;9.26;0.73;0;0;1021.7;6216;1.93
2015-06-26 23:00:00+00:00;22.27;11.28;0.74;0;0;1019.8;6216;3.9
2015-06-28 23:00:00+00:00;22.82;12.59;0.72;0;0;1022.2;6164;2.27
2015-06-30 23:00:00+00:00;30.71;18.57;0.6;0;0;1011.9;6216;4.66
2015-07-02 23:00:00+00:00;26.58;10.79;0.74;0;0;1022.8;6216;3.39
2015-07-04 23:00:00+00:00;21.25;12.76;0.8;0.0644;0.7424;1018.4;6107;2.95
2015-07-06 23:00:00+00:00;21.41;13.99;0.79;0.0028;0.0369;1010.3;6216;5.27
2015-07-08 23:00:00+00:00;21.08;10.06;0.66;0;0;1022.8;6216;3.03
2015-07-10 23:00:00+00:00;23.39;12.39;0.7;0;0;1017.1;6216;4.71
2015-07-12 23:00:00+00:00;18.29;16.07;0.91;17;0.1613;1016.1;5483;5.85
2015-07-14 23:00:00+00:00;23.02;16.71;0.85;0.0084;0.0455;1018.1;4.96;2.95
2015-07-16 23:00:00+00:00;21.83;14.99;0.79;0.0011;0.0616;1012.4;6021;5.9
2015-07-18 23:00:00+00:00;22.85;13.63;0.73;0.0246;0.3799;1011.2;6187;4.53
2015-07-20 23:00:00+00:00;21.96;13.12;0.81;0.0003;0.0054;1013.3;6201;5.39
2015-07-22 23:00:00+00:00;21.45;9.54;0.73;0;0;1018;6216;3.55
2015-07-24 23:00:00+00:00;20.42;10.56;0.76;0.0891;0.4608;1012.8;6089;5.75
2015-07-26 23:00:00+00:00;19.57;15.2;0.79;0.0007;0.0114;1001.6;6201;9.17
2015-07-28 23:00:00+00:00;18.33;9.7;0.74;0.0092;0.1152;1011.7;6216;4.68
2015-07-30 23:00:00+00:00;21.03;6.78;0.71;0;0;1018.6;6216;2.62
2015-08-01 23:00:00+00:00;23.13;9.77;0.72;0;0;1016.6;6.12;3.94
2015-08-03 23:00:00+00:00;20;12.75;0.76;0.0052;0.1045;1013.9;6216;6.66
2015-08-05 23:00:00+00:00;20.49;13.78;0.82;0.0006;0.0117;1013.3;6216;4.72
2015-08-07 23:00:00+00:00;24.86;11.95;0.77;0;0;1022.7;5.75;2.24
2015-08-09 23:00:00+00:00;20.75;16.58;0.89;0.0105;0.1551;1018;6189;4.16
2015-08-11 23:00:00+00:00;22.97;15.06;0.83;0.0668;0.3523;1021.9;5979;3.74
2015-08-13 23:00:00+00:00;19.19;15.76;0.93;0.0519;0.4743;1006.1;4048;2.84
2015-08-15 23:00:00+00:00;20.11;9.93;0.76;0;0;1017;6216;1.44
2015-08-17 23:00:00+00:00;18.93;13.37;0.74;0;0;1015.2;6216;2.98
2015-08-19 23:00:00+00:00;19.28;15.65;0.94;118;1341;1019.8;5381;3.36
2015-08-21 23:00:00+00:00;27.56;12.86;0.76;0;0;1013.9;6208;3.75
2015-08-23 23:00:00+00:00;16.79;12.54;0.93;0.7694;4.3584;999;5731;3.9
2015-08-25 23:00:00+00:00;19.29;15.07;0.91;0.2825;1509;1005.2;5772;6.96
2015-08-27 23:00:00+00:00;20.04;8.49;0.82;0;0;1016.5;6.03;3.64
2015-08-29 23:00:00+00:00;21.81;14.98;0.86;0.0015;0.0193;1016.6;5906;3.28
2015-08-31 23:00:00+00:00;19.18;11.8;0.83;0;0;1017.7;5533;2.66
2015-09-02 23:00:00+00:00;16.96;9.91;0.79;0;0;1016.4;6216;2.38
